,Complaints,Violations,Gap
"104 EAST 81 STREET New York, NY 10028",1.0,0.0,1.0
"104 EAST 85 STREET New York, NY 10028",3.0,10.0,-7.0
"104 EAST 98 STREET New York, NY 10029",18.0,4.0,14.0
"104 EDGECOMBE AVENUE New York, NY 10030",0.0,1.0,-1.0
"104 FORSYTH STREET New York, NY 10002",0.0,1.0,-1.0
"104 LENOX AVENUE New York, NY 10026",1.0,1.0,0.0
"104 REAR BAYARD STREET New York, NY 10013",0.0,1.0,-1.0
"104 RIVINGTON STREET New York, NY 10002",2.0,0.0,2.0
"104 SUFFOLK STREET New York, NY 10002",5.0,1.0,4.0
"104 SULLIVAN STREET New York, NY 10012",0.0,1.0,-1.0
"104 TERRACE VIEW AVENUE New York, NY 10463",11.0,12.0,-1.0
"104 WEST 113 STREET New York, NY 10026",0.0,1.0,-1.0
"104 WEST 114 STREET New York, NY 10026",11.0,13.0,-2.0
"104 WEST 119 STREET New York, NY 10026",0.0,2.0,-2.0
"104 WEST 122 STREET New York, NY 10027",0.0,1.0,-1.0
"104 WEST 139 STREET New York, NY 10030",0.0,2.0,-2.0
"104 WEST 144 STREET New York, NY 10030",21.0,10.0,11.0
"104 WEST 74 STREET New York, NY 10023",0.0,2.0,-2.0
"104 WEST 76 STREET New York, NY 10023",0.0,1.0,-1.0
"104 WEST 80 STREET New York, NY 10024",1.0,0.0,1.0
"104 WEST 83 STREET New York, NY 10024",14.0,0.0,14.0
"104 WEST 86 STREET New York, NY 10024",1.0,4.0,-3.0
"104 WEST 87 STREET New York, NY 10024",0.0,2.0,-2.0
"104 WEST 96 STREET New York, NY 10025",20.0,0.0,20.0
"104 WEST HOUSTON STREET New York, NY 10012",0.0,2.0,-2.0
"104 WEST WASHINGTON PLACE New York, NY 10014",0.0,1.0,-1.0
"1041 MADISON AVENUE New York, NY 10075",0.0,1.0,-1.0
"1043 MADISON AVENUE New York, NY 10075",0.0,2.0,-2.0
"1044 MADISON AVENUE New York, NY 10075",1.0,0.0,1.0
"1045 5 AVENUE New York, NY 10028",0.0,1.0,-1.0
"1045 MADISON AVENUE New York, NY 10075",0.0,2.0,-2.0
"1046 AMSTERDAM AVENUE New York, NY 10025",0.0,1.0,-1.0
"1047 LEXINGTON AVENUE New York, NY 10021",6.0,0.0,6.0
"105 AUDUBON AVENUE New York, NY 10032",9.0,6.0,3.0
"105 AVENUE C New York, NY 10009",1.0,6.0,-5.0
"105 BENNETT AVENUE New York, NY 10033",7.0,0.0,7.0
"105 CLINTON STREET New York, NY 10002",2.0,0.0,2.0
"105 EAST 100 STREET New York, NY 10029",0.0,2.0,-2.0
"105 EAST 102 STREET New York, NY 10029",5.0,5.0,0.0
"105 EAST 116 STREET New York, NY 10029",7.0,60.0,-53.0
"105 EAST 122 STREET New York, NY 10035",1.0,1.0,0.0
"105 EAST 2 STREET New York, NY 10009",1.0,2.0,-1.0
"105 EAST 21 STREET New York, NY 10010",1.0,0.0,1.0
"105 EAST 24 STREET New York, NY 10010",1.0,2.0,-1.0
"105 EAST 35 STREET New York, NY 10016",0.0,1.0,-1.0
"105 EAST 88 STREET New York, NY 10128",0.0,1.0,-1.0
"105 EAST 9 STREET New York, NY 10003",0.0,2.0,-2.0
"105 EAST 97 STREET New York, NY 10029",2.0,0.0,2.0
"105 EAST BROADWAY New York, NY 10002",0.0,2.0,-2.0
"105 FRANKLIN STREET New York, NY 10013",1.0,1.0,0.0
"105 HAMILTON PLACE New York, NY 10031",0.0,1.0,-1.0
"105 HAVEN AVENUE New York, NY 10032",9.0,10.0,-1.0
"105 MADISON STREET New York, NY 10002",0.0,1.0,-1.0
"105 MANHATTAN AVENUE New York, NY 10025",0.0,2.0,-2.0
"105 MORTON STREET New York, NY 10014",0.0,1.0,-1.0
"105 PINEHURST AVENUE New York, NY 10033",33.0,4.0,29.0
"105 STANTON STREET New York, NY 10002",1.0,2.0,-1.0
"105 SULLIVAN STREET New York, NY 10012",1.0,4.0,-3.0
"105 WEST 104 STREET New York, NY 10025",8.0,10.0,-2.0
"105 WEST 105 STREET New York, NY 10025",1.0,0.0,1.0
"105 WEST 11 STREET New York, NY 10011",0.0,1.0,-1.0
"105 WEST 113 STREET New York, NY 10026",16.0,10.0,6.0
"105 WEST 117 STREET New York, NY 10026",0.0,1.0,-1.0
"105 WEST 118 STREET New York, NY 10026",0.0,1.0,-1.0
"105 WEST 119 STREET New York, NY 10026",0.0,2.0,-2.0
"105 WEST 120 STREET New York, NY 10027",9.0,4.0,5.0
"105 WEST 122 STREET New York, NY 10027",0.0,2.0,-2.0
"105 WEST 127 STREET New York, NY 10027",0.0,3.0,-3.0
"105 WEST 128 STREET New York, NY 10027",0.0,1.0,-1.0
"105 WEST 131 STREET New York, NY 10027",0.0,1.0,-1.0
"105 WEST 136 STREET New York, NY 10030",0.0,2.0,-2.0
"105 WEST 137 STREET New York, NY 10030",16.0,18.0,-2.0
"105 WEST 138 STREET New York, NY 10030",7.0,9.0,-2.0
"105 WEST 16 STREET New York, NY 10011",3.0,5.0,-2.0
"105 WEST 17 STREET New York, NY 10011",3.0,0.0,3.0
"105 WEST 55 STREET New York, NY 10019",12.0,1.0,11.0
"105 WEST 73 STREET New York, NY 10023",1.0,0.0,1.0
"105 WEST 77 STREET New York, NY 10024",0.0,1.0,-1.0
